rxn_smiles,R,P,rxn_type
[CH2]COC(C)(C)OO>>CC1(C)OCCO1.[OH],[CH2]COC(C)(C)OO,CC1(C)OCCO1.[OH],cyc_6mem
C[CH]COC(C)(C)OO>>CC1COC(C)(C)O1.[OH],C[CH]COC(C)(C)OO,CC1COC(C)(C)O1.[OH],cyc_6mem
C[C](C)COC(C)OO>>CC1OCC(C)(C)O1.[OH],C[C](C)COC(C)OO,CC1OCC(C)(C)O1.[OH],cyc_6mem
C[C](C)COC(C)(C)OO>>CC1(C)COC(C)(C)O1.[OH],C[C](C)COC(C)(C)OO,CC1(C)COC(C)(C)O1.[OH],cyc_6mem
[CH2]OCCOO>>C1COCO1.[OH],[CH2]OCCOO,C1COCO1.[OH],cyc_6mem
[CH2]OCC(C)OO>>CC1COCO1.[OH],[CH2]OCC(C)OO,CC1COCO1.[OH],cyc_6mem
C[CH]OCCOO>>CC1OCCO1.[OH],C[CH]OCCOO,CC1OCCO1.[OH],cyc_6mem
C[CH]OCC(C)OO>>CC1COC(C)O1.[OH],C[CH]OCC(C)OO,CC1COC(C)O1.[OH],cyc_6mem
C[C](C)OCCOO>>CC1(C)OCCO1.[OH],C[C](C)OCCOO,CC1(C)OCCO1.[OH],cyc_6mem
[CH2]OCC(C)(C)OO>>CC1(C)COCO1.[OH],[CH2]OCC(C)(C)OO,CC1(C)COCO1.[OH],cyc_6mem
C[CH]OCC(C)(C)OO>>CC1OCC(C)(C)O1.[OH],C[CH]OCC(C)(C)OO,CC1OCC(C)(C)O1.[OH],cyc_6mem
C[C](C)OCC(C)OO>>CC1COC(C)(C)O1.[OH],C[C](C)OCC(C)OO,CC1COC(C)(C)O1.[OH],cyc_6mem
C[C](C)OCC(C)(C)OO>>CC1(C)COC(C)(C)O1.[OH],C[C](C)OCC(C)(C)OO,CC1(C)COC(C)(C)O1.[OH],cyc_6mem
CO[CH]CCCOO>>COC1CCCO1.[OH],CO[CH]CCCOO,COC1CCCO1.[OH],cyc_6mem
CO[CH]CCC(C)OO>>COC1CCC(C)O1.[OH],CO[CH]CCC(C)OO,COC1CCC(C)O1.[OH],cyc_6mem
CO[C](C)CCCOO>>COC1(C)CCCO1.[OH],CO[C](C)CCCOO,COC1(C)CCCO1.[OH],cyc_6mem
CO[C](C)CCC(C)OO>>COC1(C)CCC(C)O1.[OH],CO[C](C)CCC(C)OO,COC1(C)CCC(C)O1.[OH],cyc_6mem
CO[CH]CCC(C)(C)OO>>COC1CCC(C)(C)O1.[OH],CO[CH]CCC(C)(C)OO,COC1CCC(C)(C)O1.[OH],cyc_6mem
CO[C](C)CCC(C)(C)OO>>COC1(C)CCC(C)(C)O1.[OH],CO[C](C)CCC(C)(C)OO,COC1(C)CCC(C)(C)O1.[OH],cyc_6mem
[CH2]CCC(OC)OO>>COC1CCCO1.[OH],[CH2]CCC(OC)OO,COC1CCCO1.[OH],cyc_6mem
C[CH]CCC(OC)OO>>COC1CCC(C)O1.[OH],C[CH]CCC(OC)OO,COC1CCC(C)O1.[OH],cyc_6mem
[CH2]CCC(C)(OC)OO>>COC1(C)CCCO1.[OH],[CH2]CCC(C)(OC)OO,COC1(C)CCCO1.[OH],cyc_6mem
C[CH]CCC(C)(OC)OO>>COC1(C)CCC(C)O1.[OH],C[CH]CCC(C)(OC)OO,COC1(C)CCC(C)O1.[OH],cyc_6mem
COC(CC[C](C)C)OO>>COC1CCC(C)(C)O1.[OH],COC(CC[C](C)C)OO,COC1CCC(C)(C)O1.[OH],cyc_6mem
COC(C)(CC[C](C)C)OO>>COC1(C)CCC(C)(C)O1.[OH],COC(C)(CC[C](C)C)OO,COC1(C)CCC(C)(C)O1.[OH],cyc_6mem
[CH2]CCOCOO>>C1COCOC1.[OH],[CH2]CCOCOO,C1COCOC1.[OH],cyc_6mem
[CH2]CCOC(C)OO>>CC1OCCCO1.[OH],[CH2]CCOC(C)OO,CC1OCCCO1.[OH],cyc_6mem
C[CH]CCOCOO>>CC1CCOCO1.[OH],C[CH]CCOCOO,CC1CCOCO1.[OH],cyc_6mem
C[CH]CCOC(C)OO>>CC1CCOC(C)O1.[OH],C[CH]CCOC(C)OO,CC1CCOC(C)O1.[OH],cyc_6mem
